Certificate_ID,Student_ID,Course,Institution,Year,Certificate_Type,Issue_Date,Verification_Code,Status
CERT001,STU001,BSc Data Science,PQR College,2024,Degree,2024-01-24,VFY07919,Valid
CERT002,STU002,BSc Computer Science,Metro University,2025,Diploma,2024-02-02,VFY15838,Valid
CERT003,STU003,BSc Information Technology,ABC College,2026,Course,2024-02-11,VFY23757,Valid
CERT004,STU004,BCom,Sunrise Institute,2024,Internship,2024-02-20,VFY31676,Valid
CERT005,STU005,BBA,Bright Future College,2025,Workshop,2024-02-29,VFY39595,Valid
CERT006,STU006,BA,XYZ University,2026,Achievement,2024-03-09,VFY47514,Valid
CERT007,STU007,BCA,Greenfield College,2024,Degree,2024-03-18,VFY55433,Invalid
CERT008,STU008,BSc Statistics,City Institute,2025,Diploma,2024-03-27,VFY63352,Valid
CERT009,STU009,BSc Mathematics,PQR College,2026,Course,2024-04-05,VFY71271,Valid
CERT010,STU010,BMS,Metro University,2024,Internship,2024-04-14,VFY79190,Valid
CERT011,STU011,BSc Data Science,ABC College,2025,Workshop,2024-04-23,VFY87109,Valid
CERT012,STU012,BSc Computer Science,Sunrise Institute,2026,Achievement,2024-05-02,VFY95028,Valid
CERT013,STU013,BSc Information Technology,Bright Future College,2024,Degree,2024-05-11,VFY02947,Valid
CERT014,STU014,BCom,XYZ University,2025,Diploma,2024-05-20,VFY10866,Valid
CERT015,STU015,BBA,Greenfield College,2026,Course,2024-05-29,VFY18785,Invalid
CERT016,STU016,BA,City Institute,2024,Internship,2024-06-07,VFY26704,Valid
CERT017,STU017,BCA,PQR College,2025,Workshop,2024-06-16,VFY34623,Valid
CERT018,STU018,BSc Statistics,Metro University,2026,Achievement,2024-06-25,VFY42542,Valid
CERT019,STU019,BSc Mathematics,ABC College,2024,Degree,2024-07-04,VFY50461,Valid
CERT020,STU020,BMS,Sunrise Institute,2025,Diploma,2024-07-13,VFY58380,Valid
CERT021,STU021,BSc Data Science,Bright Future College,2026,Course,2024-07-22,VFY66299,Valid
CERT022,STU022,BSc Computer Science,XYZ University,2024,Internship,2024-07-31,VFY74218,Valid
CERT023,STU023,BSc Information Technology,Greenfield College,2025,Workshop,2024-08-09,VFY82137,Invalid
CERT024,STU024,BCom,City Institute,2026,Achievement,2024-08-18,VFY90056,Valid
CERT025,STU025,BBA,PQR College,2024,Degree,2024-08-27,VFY97975,Valid
CERT026,STU026,BA,Metro University,2025,Diploma,2024-09-05,VFY05894,Valid
CERT027,STU027,BCA,ABC College,2026,Course,2024-09-14,VFY13813,Valid
CERT028,STU028,BSc Statistics,Sunrise Institute,2024,Internship,2024-09-23,VFY21732,Valid
CERT029,STU029,BSc Mathematics,Bright Future College,2025,Workshop,2024-10-02,VFY29651,Valid
CERT030,STU030,BMS,XYZ University,2026,Achievement,2024-10-11,VFY37570,Valid
CERT031,STU031,BSc Data Science,Greenfield College,2024,Degree,2024-10-20,VFY45489,Invalid
CERT032,STU032,BSc Computer Science,City Institute,2025,Diploma,2024-10-29,VFY53408,Valid
CERT033,STU033,BSc Information Technology,PQR College,2026,Course,2024-11-07,VFY61327,Valid
CERT034,STU034,BCom,Metro University,2024,Internship,2024-11-16,VFY69246,Valid
CERT035,STU035,BBA,ABC College,2025,Workshop,2024-11-25,VFY77165,Valid
CERT036,STU036,BA,Sunrise Institute,2026,Achievement,2024-12-04,VFY85084,Valid
CERT037,STU037,BCA,Bright Future College,2024,Degree,2024-12-13,VFY93003,Valid
CERT038,STU038,BSc Statistics,XYZ University,2025,Diploma,2024-12-22,VFY00922,Valid
CERT039,STU039,BSc Mathematics,Greenfield College,2026,Course,2024-12-31,VFY08841,Valid
CERT040,STU040,BMS,City Institute,2024,Internship,2025-01-09,VFY16760,Valid
CERT041,STU041,BSc Data Science,PQR College,2025,Workshop,2025-01-18,VFY24679,Valid
CERT042,STU042,BSc Computer Science,Metro University,2026,Achievement,2025-01-27,VFY32598,Invalid
CERT043,STU043,BSc Information Technology,ABC College,2024,Degree,2025-02-05,VFY40517,Valid
CERT044,STU044,BCom,Sunrise Institute,2025,Diploma,2025-02-14,VFY48436,Valid
